Name,Latitude,Longitude,Category,Colour,IconScale,IconColor,LabelScale,Folder,Icon
p82,32.1087231,34.8050072,1,1,0.5,Red,0.3,one,100
p83,32.1087303,34.8050127,1,1,0.5,Red,0.3,one,100
p84,32.1087459,34.8050236,1,1,0.5,Red,0.3,one,100
p85,32.1087459,34.8050236,1,1,0.5,Red,0.3,one,100
p86,32.108769,34.8050405,1,1,0.5,Red,0.3,one,100
p87,32.1087536,34.805029,1,1,0.5,Red,0.3,one,100
p88,32.1087608,34.8050346,1,1,0.5,Red,0.3,one,100
p89,32.108769,34.8050405,1,1,0.5,Red,0.3,one,100
p90,32.1087763,34.8050456,1,1,0.5,Red,0.3,one,100
p91,32.1087995,34.8050626,1,1,0.5,Red,0.3,one,100
p92,32.1087842,34.8050514,1,1,0.5,Red,0.3,one,100
p93,32.1087916,34.8050568,1,1,0.5,Red,0.3,one,100
p94,32.1087995,34.8050626,1,1,0.5,Red,0.3,one,100
p95,32.1088148,34.8050738,1,1,0.5,Red,0.3,one,100
p96,32.1088148,34.8050738,1,1,0.5,Red,0.3,one,100
p97,32.1088148,34.8050738,1,1,0.5,Red,0.3,one,100
p98,32.1088227,34.8050796,1,1,0.5,Red,0.3,one,100
p99,32.1088303,34.8050845,1,1,0.5,Red,0.3,one,100
p100,32.1088382,34.8050901,1,1,0.5,Red,0.3,one,100
p101,32.1088459,34.8050957,1,1,0.5,Red,0.3,one,100
p102,32.1088537,34.8051017,1,1,0.5,Red,0.3,one,100
p103,32.1088537,34.8051017,1,1,0.5,Red,0.3,one,100
p104,32.1088612,34.8051072,1,1,0.5,Red,0.3,one,100
p105,32.1088689,34.8051125,1,1,0.5,Red,0.3,one,100
p106,32.108877,34.8051181,1,1,0.5,Red,0.3,one,100
p107,32.108877,34.8051181,1,1,0.5,Red,0.3,one,100
p108,32.1088841,34.8051232,1,1,0.5,Red,0.3,one,100
p109,32.1088917,34.8051285,1,1,0.5,Red,0.3,one,100
p110,32.1088912,34.8051284,1,1,0.5,Red,0.3,one,100
p111,32.1088912,34.8051284,1,1,0.5,Red,0.3,one,100
p112,32.1087125,34.8050058,1,1,0.5,Red,0.3,one,100
p113,32.1088227,34.8050796,1,1,0.5,Red,0.3,one,100
p114,32.1088667,34.805109,1,1,0.5,Red,0.3,one,100
p115,32.10888815,34.80511711,1,1,0.5,Red,0.3,one,100
p116,32.1088622,34.8052076,1,1,0.5,Red,0.3,one,100
p117,32.1088891,34.8051163,1,1,0.5,Red,0.3,one,100
p118,32.1089042,34.8051253,1,1,0.5,Red,0.3,one,100
p119,32.1089124,34.8051326,1,1,0.5,Red,0.3,one,100
p120,32.1089124,34.8051326,1,1,0.5,Red,0.3,one,100
p121,32.1088941,34.8051689,1,1,0.5,Red,0.3,one,100
p122,32.1088905,34.8051764,1,1,0.5,Red,0.3,one,100
p123,32.1088905,34.8051764,1,1,0.5,Red,0.3,one,100
p124,32.1088846,34.8051851,1,1,0.5,Red,0.3,one,100
p125,32.1088799,34.8051938,1,1,0.5,Red,0.3,one,100
p126,32.1088749,34.8052037,1,1,0.5,Red,0.3,one,100
p127,32.1088665,34.8052207,1,1,0.5,Red,0.3,one,100
p128,32.1088665,34.8052207,1,1,0.5,Red,0.3,one,100
p129,32.1088618,34.8052301,1,1,0.5,Red,0.3,one,100
p130,32.1088567,34.8052171,1,1,0.5,Red,0.3,one,100
p131,32.1088364,34.8052382,1,1,0.5,Red,0.3,one,100
p132,32.1088642,34.8052451,1,1,0.5,Red,0.3,one,100
p133,32.1088515,34.8052494,1,1,0.5,Red,0.3,one,100
p134,32.1088665,34.8052207,1,1,0.5,Red,0.3,one,100
p135,32.1088436,34.8052444,1,1,0.5,Red,0.3,one,100
p136,32.10885958,34.80524693,1,1,0.5,Red,0.3,one,100
p137,32.108878,34.8051923,1,1,0.5,Red,0.3,one,100
p138,32.1088253,34.8052178,1,1,0.5,Red,0.3,one,100
p139,32.1088253,34.8052178,1,1,0.5,Red,0.3,one,100
p140,32.1088296,34.8052098,1,1,0.5,Red,0.3,one,100
p141,32.1088356,34.8052011,1,1,0.5,Red,0.3,one,100
p142,32.108878,34.8051923,2,2,0.5,Blue,0.3,two,100
p143,32.1088412,34.8052054,2,2,0.5,Blue,0.3,two,100
p144,32.1088253,34.8052178,2,2,0.5,Blue,0.3,two,100
p145,32.1088403,34.8052278,2,2,0.5,Blue,0.3,two,100
p146,32.10885753,34.80523511,2,2,0.5,Blue,0.3,two,100
p147,32.1088484,34.805233,2,2,0.5,Blue,0.3,two,100
p148,32.1088515,34.8052494,2,2,0.7,Blue,0.3,two,100
p149,32.1088567,34.8052171,2,2,0.7,Blue,0.3,two,100
p150,32.1088666,34.8051985,2,2,0.7,Blue,0.3,two,100
p151,32.10884183,34.80522941,2,2,0.7,Blue,0.3,two,100
p152,32.1088666,34.8051985,2,2,0.7,Blue,0.3,two,100
p153,32.1088713,34.80519,2,2,0.7,Blue,0.3,two,100
p154,32.1088761,34.8051817,2,2,0.7,Blue,0.3,two,100
p155,32.1088761,34.8051817,2,2,0.7,Blue,0.3,two,100
p156,32.1088765,34.8051806,2,2,0.7,Blue,0.3,two,100
p157,32.1088803,34.8051721,2,2,0.7,Blue,0.3,two,100
p158,32.1088484,34.805233,2,2,0.7,Blue,0.3,two,100
p159,32.1088941,34.8051689,3,3,0.7,Lime,0.3,tre,97
p160,32.1088852,34.8051637,3,3,0.7,Lime,0.3,tre,97
p161,32.1088959,34.8051442,3,3,0.7,Lime,0.3,tre,97
p162,32.1088967,34.8051455,3,3,0.7,Lime,0.3,tre,97
p163,32.1088967,34.8051455,3,3,0.7,Lime,0.3,tre,97
p164,32.1088967,34.8051455,3,3,0.7,Lime,0.3,tre,97
p165,32.1088967,34.8051455,3,3,0.7,Lime,0.3,tre,97
p166,32.1088967,34.8051455,3,3,0.7,Lime,0.3,tre,97
,32.1086076,34.8047626,,,,,,tre,97
,32.1086076,34.8047626,,,,,,tre,97
,32.1088341,34.8052631,,,,,,tre,97
,32.10887584,34.80518219,,,,,,tre,97
,32.1088403,34.8052278,,,,,,tre,97
,32.1088447,34.8052696,,,,,,tre,97
,32.1088341,34.8052631,,,,,,tre,97
,32.1088394,34.8052783,,,,,,tre,97
,32.1088344,34.8052862,,,,,,tre,97
,32.1088297,34.8052952,,,,,,tre,97
,32.1088297,34.8052952,,,,,,tre,97
,32.1088258,34.8053044,,,,,,tre,97
,32.1088199,34.805314,,,,,,tre,97
,32.1088155,34.8053232,,,,,,tre,97
,32.1088111,34.8053324,,,,,,tre,97
,32.1088111,34.8053324,,,,,,tre,97
,32.1088067,34.8053407,,,,,,tre,97
,32.1087591,34.8054325,,,,,,tre,97
,32.1087591,34.8054325,,,,,,tre,97
,32.10875,34.8054487,,,,,,tre,97
,32.10875,34.8054487,,,,,,tre,97
,32.10874,34.805468,,,,,,tre,97
,32.10874,34.805468,,,,,,tre,97
,32.108878,34.8051923,,,,,,tre,97
,32.1087367,34.8054754,,,,,,tre,97
,32.108721,34.8054792,,,,,,tre,97
,32.108878,34.8051923,,,,,,tre,97
,32.1087264,34.8054944,,,,,,tre,97
,32.108878,34.8051923,,,,,,tre,97
,32.1087122,34.8054952,,,,,,tre,97
