mac,rssi[db],Latitude,Longitude,Altitude,range[cm]
e4:b3:18:9f:bf:9b,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c1:94,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c0:4f,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:63:e2,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:b9,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:62:a2,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:be,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:63:ec,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:aa,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c0:31,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:62:d9,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:9b,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c1:94,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c0:4f,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:63:e2,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:b9,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:62:a2,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:be,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:63:ec,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:aa,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c0:31,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:62:d9,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:9b,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c1:94,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c0:4f,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:63:e2,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:b9,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:62:a2,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:be,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:63:ec,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:aa,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:c0:31,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:c3:62:d9,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:9b,-120,32.1088172,34.8050742,0.169638947,0.0
e4:b3:18:9f:c1:94,-120,32.1088172,34.8050742,0.169638947,0.0
e4:b3:18:9f:c0:4f,-120,32.1088172,34.8050742,0.169638947,0.0
e4:b3:18:c3:63:e2,-120,32.1088139,34.8050718,0.160450742,0.0
e4:b3:18:9f:bf:b9,-120,32.1088139,34.8050718,0.160450742,0.0
e4:b3:18:c3:62:a2,-120,32.1088139,34.8050718,0.160450742,0.0
e4:b3:18:9f:bf:be,-120,32.1088139,34.8050718,0.160450742,0.0
e4:b3:18:c3:63:ec,-120,32.1088139,34.8050718,0.160450742,0.0
e4:b3:18:9f:bf:aa,-120,32.1088172,34.8050742,0.169638947,0.0
e4:b3:18:9f:c0:31,-120,32.1088187,34.8050753,0.168669567,0.0
e4:b3:18:c3:62:d9,-120,32.1088187,34.8050753,0.168669567,0.0
e4:b3:18:9f:bf:9b,-120,32.1088784,34.8051916,0.098603636,0.0
e4:b3:18:9f:c1:94,-120,32.1088784,34.8051916,0.098603636,0.0
e4:b3:18:9f:c0:4f,-120,32.1088784,34.8051916,0.098603636,0.0
e4:b3:18:c3:63:e2,-120,32.1088788,34.8051914,0.098603636,0.0
e4:b3:18:9f:bf:b9,-120,32.1088788,34.8051914,0.098603636,0.0
e4:b3:18:c3:62:a2,-120,32.1088788,34.8051914,0.098603636,0.0
e4:b3:18:9f:bf:be,-120,32.1088788,34.8051914,0.098603636,0.0
e4:b3:18:c3:63:ec,-120,32.1088788,34.8051914,0.098603636,0.0
e4:b3:18:9f:bf:aa,-86.0,32.1088788,34.8051914,0.098603636,2126.0
e4:b3:18:9f:c0:31,-120,32.1088779,34.8051918,0.105825126,0.0
e4:b3:18:c3:62:d9,-120,32.1088779,34.8051918,0.105825126,0.0
e4:b3:18:9f:bf:9b,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:9f:c1:94,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:9f:c0:4f,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:c3:63:e2,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:9f:bf:b9,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:c3:62:a2,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:9f:bf:be,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:c3:63:ec,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:9f:bf:aa,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:9f:c0:31,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:c3:62:d9,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:9f:bf:9b,-120,32.1088492,34.8052464,0.0893489793,0.0
e4:b3:18:9f:c1:94,-120,32.1088492,34.8052464,0.0893489793,0.0
e4:b3:18:9f:c0:4f,-120,32.1088492,34.8052464,0.0893489793,0.0
e4:b3:18:c3:63:e2,-120,32.1088516,34.8052427,0.109672315,0.0
e4:b3:18:9f:bf:b9,-120,32.1088516,34.8052427,0.109672315,0.0
e4:b3:18:c3:62:a2,-120,32.1088516,34.8052427,0.109672315,0.0
e4:b3:18:9f:bf:be,-120,32.1088516,34.8052427,0.109672315,0.0
e4:b3:18:c3:63:ec,-120,32.1088516,34.8052427,0.109672315,0.0
e4:b3:18:9f:bf:aa,-120,32.1088492,34.8052464,0.0893489793,0.0
e4:b3:18:9f:c0:31,-120,32.1088486,34.8052477,0.0893489793,0.0
e4:b3:18:c3:62:d9,-120,32.1088486,34.8052477,0.0893489793,0.0
e4:b3:18:9f:bf:9b,-120,32.1088447,34.8052696,0.0739634335,0.0
e4:b3:18:9f:c1:94,-120,32.1088447,34.8052696,0.0739634335,0.0
e4:b3:18:9f:c0:4f,-120,32.1088447,34.8052696,0.0739634335,0.0
e4:b3:18:c3:63:e2,-120,32.1088447,34.8052696,0.0739634335,0.0
e4:b3:18:9f:bf:b9,-120,32.1088447,34.8052696,0.0739634335,0.0
e4:b3:18:c3:62:a2,-120,32.1088447,34.8052696,0.0739634335,0.0
e4:b3:18:9f:bf:be,-120,32.1088447,34.8052696,0.0739634335,0.0
e4:b3:18:c3:63:ec,-120,32.1088447,34.8052696,0.0739634335,0.0
e4:b3:18:9f:bf:aa,-120,32.1088447,34.8052696,0.0739634335,0.0
e4:b3:18:9f:c0:31,-120,32.1088447,34.8052696,0.0739634335,0.0
e4:b3:18:c3:62:d9,-120,32.1088447,34.8052696,0.0739634335,0.0
e4:b3:18:9f:bf:9b,-120,32.1088394,34.8052783,0.0788450912,0.0
e4:b3:18:9f:c1:94,-120,32.1088394,34.8052783,0.0788450912,0.0
e4:b3:18:9f:c0:4f,-120,32.1088394,34.8052783,0.0788450912,0.0
e4:b3:18:c3:63:e2,-120,32.1088394,34.8052783,0.0788450912,0.0
e4:b3:18:9f:bf:b9,-120,32.1088394,34.8052783,0.0788450912,0.0
e4:b3:18:c3:62:a2,-120,32.1088394,34.8052783,0.0788450912,0.0
e4:b3:18:9f:bf:be,-120,32.1088394,34.8052783,0.0788450912,0.0
e4:b3:18:c3:63:ec,-120,32.1088394,34.8052783,0.0788450912,0.0
e4:b3:18:9f:bf:aa,-120,32.1088394,34.8052783,0.0788450912,0.0
e4:b3:18:9f:c0:31,-120,32.1088394,34.8052783,0.0788450912,0.0
e4:b3:18:c3:62:d9,-120,32.1088394,34.8052783,0.0788450912,0.0
e4:b3:18:9f:bf:9b,-120,32.1088394,34.8052783,0.0788450912,0.0
e4:b3:18:9f:c1:94,-120,32.1088394,34.8052783,0.0788450912,0.0
e4:b3:18:9f:c0:4f,-120,32.1088394,34.8052783,0.0788450912,0.0
e4:b3:18:c3:63:e2,-120,32.1088394,34.8052783,0.0788450912,0.0
e4:b3:18:9f:bf:b9,-120,32.1088394,34.8052783,0.0788450912,0.0
e4:b3:18:c3:62:a2,-120,32.1088394,34.8052783,0.0788450912,0.0
e4:b3:18:9f:bf:be,-120,32.1088394,34.8052783,0.0788450912,0.0
e4:b3:18:c3:63:ec,-120,32.1088394,34.8052783,0.0788450912,0.0
e4:b3:18:9f:bf:aa,-120,32.1088394,34.8052783,0.0788450912,0.0
e4:b3:18:9f:c0:31,-120,32.1088394,34.8052783,0.0788450912,0.0
e4:b3:18:c3:62:d9,-120,32.1088394,34.8052783,0.0788450912,0.0
e4:b3:18:9f:bf:9b,-120,32.1088344,34.8052862,0.0706739128,0.0
e4:b3:18:9f:c1:94,-120,32.1088344,34.8052862,0.0706739128,0.0
e4:b3:18:9f:c0:4f,-120,32.1088344,34.8052862,0.0706739128,0.0
e4:b3:18:c3:63:e2,-120,32.1088344,34.8052862,0.0706739128,0.0
e4:b3:18:9f:bf:b9,-120,32.1088344,34.8052862,0.0706739128,0.0
e4:b3:18:c3:62:a2,-120,32.1088344,34.8052862,0.0706739128,0.0
e4:b3:18:9f:bf:be,-120,32.1088344,34.8052862,0.0706739128,0.0
e4:b3:18:c3:63:ec,-120,32.1088344,34.8052862,0.0706739128,0.0
e4:b3:18:9f:bf:aa,-120,32.1088344,34.8052862,0.0706739128,0.0
e4:b3:18:9f:c0:31,-120,32.1088344,34.8052862,0.0706739128,0.0
e4:b3:18:c3:62:d9,-120,32.1088344,34.8052862,0.0706739128,0.0
e4:b3:18:9f:bf:9b,-120,32.1088344,34.8052862,0.0706739128,0.0
e4:b3:18:9f:c1:94,-120,32.1088344,34.8052862,0.0706739128,0.0
e4:b3:18:9f:c0:4f,-120,32.1088344,34.8052862,0.0706739128,0.0
e4:b3:18:c3:63:e2,-120,32.1088344,34.8052862,0.0706739128,0.0
e4:b3:18:9f:bf:b9,-120,32.1088344,34.8052862,0.0706739128,0.0
e4:b3:18:c3:62:a2,-120,32.1088344,34.8052862,0.0706739128,0.0
e4:b3:18:9f:bf:be,-120,32.1088344,34.8052862,0.0706739128,0.0
e4:b3:18:c3:63:ec,-120,32.1088344,34.8052862,0.0706739128,0.0
e4:b3:18:9f:bf:aa,-120,32.1088344,34.8052862,0.0706739128,0.0
e4:b3:18:9f:c0:31,-120,32.1088344,34.8052862,0.0706739128,0.0
e4:b3:18:c3:62:d9,-120,32.1088344,34.8052862,0.0706739128,0.0
e4:b3:18:9f:bf:9b,-120,32.1088297,34.8052952,0.0729752854,0.0
e4:b3:18:9f:c1:94,-120,32.1088297,34.8052952,0.0729752854,0.0
e4:b3:18:9f:c0:4f,-120,32.1088297,34.8052952,0.0729752854,0.0
e4:b3:18:c3:63:e2,-120,32.1088297,34.8052952,0.0729752854,0.0
e4:b3:18:9f:bf:b9,-120,32.1088297,34.8052952,0.0729752854,0.0
e4:b3:18:c3:62:a2,-120,32.1088297,34.8052952,0.0729752854,0.0
e4:b3:18:9f:bf:be,-120,32.1088297,34.8052952,0.0729752854,0.0
e4:b3:18:c3:63:ec,-120,32.1088297,34.8052952,0.0729752854,0.0
