mac,rssi[db],Latitude,Longitude,Altitude,range[cm]
e4:b3:18:9f:c0:d6,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:91,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:f5,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:10,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:6f,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:a5,-78.0,32.1086076,34.8047626,0,2659.0
e4:b3:18:9f:c1:8a,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:83,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:7e,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:69:da,-63.0,32.1086076,34.8047626,0,591.0
e4:b3:18:9f:c1:53,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6a:e8,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6a:fc,-61.0,32.1086076,34.8047626,0,548.0
44:85:00:c5:6a:de,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:74,-77.0,32.1086076,34.8047626,0,249.0
e4:b3:18:9f:c0:d6,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:91,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:f5,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:10,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:6f,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:a5,-78.0,32.1086076,34.8047626,0,2667.0
e4:b3:18:9f:c1:8a,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:83,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:7e,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:69:da,-63.0,32.1086076,34.8047626,0,668.0
e4:b3:18:9f:c1:53,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6a:e8,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6a:fc,-60.0,32.1086076,34.8047626,0,570.0
44:85:00:c5:6a:de,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:74,-78.0,32.1086076,34.8047626,0,619.0
e4:b3:18:9f:c0:d6,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:91,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:f5,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:10,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:6f,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:a5,-78.0,32.1086076,34.8047626,0,2693.0
e4:b3:18:9f:c1:8a,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:83,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:7e,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:69:da,-64.0,32.1086076,34.8047626,0,621.0
e4:b3:18:9f:c1:53,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6a:e8,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6a:fc,-60.0,32.1086076,34.8047626,0,534.0
44:85:00:c5:6a:de,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:74,-77.0,32.1086076,34.8047626,0,603.0
e4:b3:18:9f:c0:d6,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:91,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:f5,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:10,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:6f,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:a5,-78.0,32.1086076,34.8047626,0,2716.0
e4:b3:18:9f:c1:8a,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:83,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:7e,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:69:da,-63.0,32.1086076,34.8047626,0,605.0
e4:b3:18:9f:c1:53,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6a:e8,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6a:fc,-60.0,32.1086076,34.8047626,0,610.0
44:85:00:c5:6a:de,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:74,-77.0,32.1086076,34.8047626,0,597.0
e4:b3:18:9f:c0:d6,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:91,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:f5,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:10,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:6f,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:a5,-80.0,32.1086076,34.8047626,0,2714.0
e4:b3:18:9f:c1:8a,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:83,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:7e,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:69:da,-64.0,32.1086076,34.8047626,0,631.0
e4:b3:18:9f:c1:53,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6a:e8,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6a:fc,-61.0,32.1086076,34.8047626,0,577.0
44:85:00:c5:6a:de,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:74,-77.0,32.1086076,34.8047626,0,650.0
e4:b3:18:9f:c0:d6,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:91,-82.0,32.1086076,34.8047626,0,3492.0
e4:b3:18:9f:bf:f5,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:10,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:6f,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:a5,-78.0,32.1086076,34.8047626,0,2718.0
e4:b3:18:9f:c1:8a,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:83,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:7e,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:69:da,-64.0,32.1086076,34.8047626,0,647.0
e4:b3:18:9f:c1:53,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6a:e8,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6a:fc,-61.0,32.1086076,34.8047626,0,539.0
44:85:00:c5:6a:de,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:74,-77.0,32.1086076,34.8047626,0,605.0
e4:b3:18:9f:c0:d6,-120,32.1088106,34.8050694,0.158523589,0.0
e4:b3:18:9f:bf:91,-78.0,32.1088061,34.8050662,0.156615302,2191.0
e4:b3:18:9f:bf:f5,-120,32.1088106,34.8050694,0.158523589,0.0
44:85:00:c5:6b:10,-120,32.1088106,34.8050694,0.158523589,0.0
44:85:00:c5:6b:6f,-120,32.108808,34.8050675,0.156615302,0.0
e4:b3:18:9f:bf:a5,-71.0,32.108806,34.805066,0.156615302,1244.0
e4:b3:18:9f:c1:8a,-120,32.108808,34.8050675,0.156615302,0.0
44:85:00:c5:6b:83,-120,32.108806,34.805066,0.156615302,0.0
44:85:00:c5:6b:7e,-120,32.108808,34.8050675,0.156615302,0.0
