mac,rssi[db],Latitude,Longitude,Altitude,range[cm]
e4:b3:18:9f:c0:d6,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:91,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:f5,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:10,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:6f,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:a5,-79.0,32.1086076,34.8047626,0,2720.0
e4:b3:18:9f:c1:8a,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:83,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:7e,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:69:da,-62.0,32.1086076,34.8047626,0,675.0
e4:b3:18:9f:c1:53,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6a:e8,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6a:fc,-60.0,32.1086076,34.8047626,0,593.0
44:85:00:c5:6a:de,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:74,-77.0,32.1086076,34.8047626,0,663.0
e4:b3:18:9f:c0:d6,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:91,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:f5,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:10,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:6f,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:a5,-79.0,32.1086076,34.8047626,0,2730.0
e4:b3:18:9f:c1:8a,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:83,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:7e,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:69:da,-63.0,32.1086076,34.8047626,0,648.0
e4:b3:18:9f:c1:53,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6a:e8,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6a:fc,-61.0,32.1086076,34.8047626,0,582.0
44:85:00:c5:6a:de,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:74,-77.0,32.1086076,34.8047626,0,674.0
e4:b3:18:9f:c0:d6,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:91,-82.0,32.1086076,34.8047626,0,3482.0
e4:b3:18:9f:bf:f5,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:10,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:6f,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:a5,-79.0,32.1086076,34.8047626,0,2719.0
e4:b3:18:9f:c1:8a,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:83,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:7e,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:69:da,-63.0,32.1086076,34.8047626,0,669.0
e4:b3:18:9f:c1:53,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6a:e8,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6a:fc,-61.0,32.1086076,34.8047626,0,559.0
44:85:00:c5:6a:de,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:74,-78.0,32.1086076,34.8047626,0,677.0
e4:b3:18:9f:c0:d6,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:91,-83.0,32.1086076,34.8047626,0,3458.0
e4:b3:18:9f:bf:f5,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:10,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:6f,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:a5,-78.0,32.1086076,34.8047626,0,2523.0
e4:b3:18:9f:c1:8a,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:83,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:7e,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:69:da,-64.0,32.1086076,34.8047626,0,642.0
e4:b3:18:9f:c1:53,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6a:e8,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6a:fc,-60.0,32.1086076,34.8047626,0,510.0
44:85:00:c5:6a:de,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:74,-77.0,32.1086076,34.8047626,0,579.0
e4:b3:18:9f:c0:d6,-120,32.1087655,34.8050356,0.174519017,0.0
e4:b3:18:9f:bf:91,-120,32.1087628,34.8050337,0.16649206,0.0
e4:b3:18:9f:bf:f5,-120,32.1087655,34.8050356,0.174519017,0.0
44:85:00:c5:6b:10,-120,32.1087655,34.8050356,0.174519017,0.0
44:85:00:c5:6b:6f,-120,32.1087628,34.8050337,0.16649206,0.0
e4:b3:18:9f:bf:a5,-79.0,32.1087606,34.8050322,0.156499118,1988.0
e4:b3:18:9f:c1:8a,-120,32.1087628,34.8050337,0.16649206,0.0
44:85:00:c5:6b:83,-120,32.1087606,34.8050322,0.156499118,0.0
44:85:00:c5:6b:7e,-120,32.1087628,34.8050337,0.16649206,0.0
44:85:00:c5:69:da,-120,32.1087606,34.8050322,0.156499118,0.0
e4:b3:18:9f:c1:53,-120,32.1087628,34.8050337,0.16649206,0.0
44:85:00:c5:6a:e8,-120,32.1087655,34.8050356,0.174519017,0.0
44:85:00:c5:6a:fc,-63.0,32.1087589,34.8050311,0.156499118,1188.0
44:85:00:c5:6a:de,-120,32.1087655,34.8050356,0.174519017,0.0
44:85:00:c5:6b:74,-75.0,32.1087599,34.8050318,0.156499118,724.0
e4:b3:18:9f:c0:d6,-120,32.108881,34.8051216,0.117736146,0.0
e4:b3:18:9f:bf:91,-61.0,32.1088764,34.8051182,0.123037197,765.0
e4:b3:18:9f:bf:f5,-120,32.108881,34.8051216,0.117736146,0.0
44:85:00:c5:6b:10,-120,32.108881,34.8051216,0.117736146,0.0
44:85:00:c5:6b:6f,-120,32.1088783,34.8051195,0.117736146,0.0
e4:b3:18:9f:bf:a5,-61.0,32.1088763,34.8051181,0.123037197,523.0
e4:b3:18:9f:c1:8a,-77.0,32.1088764,34.8051182,0.123037197,1627.0
44:85:00:c5:6b:83,-78.0,32.1088763,34.8051181,0.123037197,474.0
44:85:00:c5:6b:7e,-120,32.1088783,34.8051195,0.117736146,0.0
44:85:00:c5:69:da,-120,32.1088763,34.8051181,0.123037197,0.0
e4:b3:18:9f:c1:53,-120,32.1088783,34.8051195,0.117736146,0.0
44:85:00:c5:6a:e8,-120,32.108881,34.8051216,0.117736146,0.0
44:85:00:c5:6a:fc,-73.0,32.1088753,34.8051173,0.123037197,2914.0
44:85:00:c5:6a:de,-120,32.108881,34.8051216,0.117736146,0.0
44:85:00:c5:6b:74,-120,32.1088763,34.8051181,0.123037197,0.0
e4:b3:18:9f:c0:d6,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:9f:bf:91,-67.0,32.108878,34.8051923,0.120892584,1225.0
e4:b3:18:9f:bf:f5,-120,32.108878,34.8051923,0.120892584,0.0
44:85:00:c5:6b:10,-120,32.108878,34.8051923,0.120892584,0.0
44:85:00:c5:6b:6f,-81.0,32.108878,34.8051923,0.120892584,3742.0
e4:b3:18:9f:bf:a5,-54.0,32.108878,34.8051923,0.120892584,537.0
