mac,Latitude,Longitude,Altitude,Description
e4:b3:18:9f:bf:af,32.108754,34.805301,0,Balcony Center
e4:b3:18:9f:c0:36,32.108786,34.805222,0,Balcony West
e4:b3:18:9f:bf:96,32.108852,34.805256,0,Electrical Panel Floor1
e4:b3:18:9f:c1:8f,32.108688,34.805488,0,The end of the corridor
e4:b3:18:9f:c0:04,32.108843,34.805099,0,Notice board
e4:b3:18:9f:c0:18,32.108914,34.805083,0,Lobby Floor1
e4:b3:18:9f:bf:87,32.108794,34.805157,0,Between floor 1/0
e4:b3:18:9f:c0:b3,32.108655,34.80546,0,Balcony East
44:85:00:c5:69:d5,32.108923,34.805318,0,101 Room North
44:85:00:c5:67:3c,32.108839,34.805361,0,101 Room East
e4:b3:18:9f:bf:b4,32.10883,34.805022,0,117 Room
44:85:00:c5:6c:19,32.108765,34.805101,0,106 Room
44:85:00:c5:69:a8,32.108703,34.805061,0,114 Room
44:85:00:c5:67:37,32.108709,34.805065,0,108 Room
e4:b3:18:9f:c1:4e,32.108794,34.805564,0,103 Class
e4:b3:18:9f:c1:99,32.108754,34.805419,0,102 Class
