mac,rssi[db],Latitude,Longitude,Altitude,range[cm]
e4:b3:18:9f:c0:d6,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:91,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:f5,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:10,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:6f,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:a5,-78.0,32.1086076,34.8047626,0,2693.0
e4:b3:18:9f:c1:8a,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:83,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:7e,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:69:da,-64.0,32.1086076,34.8047626,0,621.0
e4:b3:18:9f:c1:53,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6a:e8,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6a:fc,-60.0,32.1086076,34.8047626,0,534.0
44:85:00:c5:6a:de,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:74,-77.0,32.1086076,34.8047626,0,603.0
e4:b3:18:9f:c0:d6,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:91,-82.0,32.1086076,34.8047626,0,3492.0
e4:b3:18:9f:bf:f5,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:10,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:6f,-120,32.1086076,34.8047626,0,0.0
e4:b3:18:9f:bf:a5,-78.0,32.1086076,34.8047626,0,2718.0
e4:b3:18:9f:c1:8a,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:83,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:7e,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:69:da,-64.0,32.1086076,34.8047626,0,647.0
e4:b3:18:9f:c1:53,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6a:e8,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6a:fc,-61.0,32.1086076,34.8047626,0,539.0
44:85:00:c5:6a:de,-120,32.1086076,34.8047626,0,0.0
44:85:00:c5:6b:74,-77.0,32.1086076,34.8047626,0,605.0
e4:b3:18:9f:c0:d6,-120,32.1088568,34.8051037,0.144756615,0.0
e4:b3:18:9f:bf:91,-77.0,32.1088526,34.8051004,0.150379762,1392.0
e4:b3:18:9f:bf:f5,-84.0,32.1088568,34.8051037,0.144756615,2419.0
44:85:00:c5:6b:10,-120,32.1088568,34.8051037,0.144756615,0.0
44:85:00:c5:6b:6f,-120,32.1088544,34.8051018,0.144756615,0.0
e4:b3:18:9f:bf:a5,-120,32.1088525,34.8051003,0.150379762,0.0
e4:b3:18:9f:c1:8a,-73.0,32.1088526,34.8051004,0.150379762,1520.0
44:85:00:c5:6b:83,-120,32.1088525,34.8051003,0.150379762,0.0
44:85:00:c5:6b:7e,-120,32.1088544,34.8051018,0.144756615,0.0
44:85:00:c5:69:da,-120,32.1088525,34.8051003,0.150379762,0.0
e4:b3:18:9f:c1:53,-120,32.1088544,34.8051018,0.144756615,0.0
44:85:00:c5:6a:e8,-120,32.1088568,34.8051037,0.144756615,0.0
44:85:00:c5:6a:fc,-66.0,32.1088525,34.8051003,0.150379762,2723.0
44:85:00:c5:6a:de,-120,32.1088568,34.8051037,0.144756615,0.0
44:85:00:c5:6b:74,-120,32.1088525,34.8051003,0.150379762,0.0
e4:b3:18:9f:c0:d6,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:9f:bf:91,-67.0,32.108878,34.8051923,0.120892584,1232.0
e4:b3:18:9f:bf:f5,-120,32.108878,34.8051923,0.120892584,0.0
44:85:00:c5:6b:10,-120,32.108878,34.8051923,0.120892584,0.0
44:85:00:c5:6b:6f,-81.0,32.108878,34.8051923,0.120892584,3787.0
e4:b3:18:9f:bf:a5,-54.0,32.108878,34.8051923,0.120892584,501.0
e4:b3:18:9f:c1:8a,-68.0,32.108878,34.8051923,0.120892584,510.0
44:85:00:c5:6b:83,-120,32.108878,34.8051923,0.120892584,0.0
44:85:00:c5:6b:7e,-120,32.108878,34.8051923,0.120892584,0.0
44:85:00:c5:69:da,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:9f:c1:53,-120,32.108878,34.8051923,0.120892584,0.0
44:85:00:c5:6a:e8,-120,32.108878,34.8051923,0.120892584,0.0
44:85:00:c5:6a:fc,-120,32.108878,34.8051923,0.120892584,0.0
44:85:00:c5:6a:de,-120,32.108878,34.8051923,0.120892584,0.0
44:85:00:c5:6b:74,-120,32.108878,34.8051923,0.120892584,0.0
e4:b3:18:9f:c0:d6,-120,32.1088449,34.8052632,0.0714020953,0.0
e4:b3:18:9f:bf:91,-74.0,32.1088453,34.8052603,0.0728813186,1867.0
e4:b3:18:9f:bf:f5,-83.0,32.1088449,34.8052632,0.0714020953,1434.0
44:85:00:c5:6b:10,-120,32.1088449,34.8052632,0.0714020953,0.0
44:85:00:c5:6b:6f,-73.0,32.1088453,34.8052603,0.0728813186,2716.0
e4:b3:18:9f:bf:a5,-72.0,32.1088453,34.8052601,0.0728813186,1222.0
e4:b3:18:9f:c1:8a,-62.0,32.1088453,34.8052603,0.0728813186,402.0
44:85:00:c5:6b:83,-120,32.1088453,34.8052601,0.0728813186,0.0
44:85:00:c5:6b:7e,-120,32.1088451,34.8052618,0.0728813186,0.0
44:85:00:c5:69:da,-120,32.1088453,34.8052601,0.0728813186,0.0
e4:b3:18:9f:c1:53,-120,32.1088451,34.8052618,0.0728813186,0.0
44:85:00:c5:6a:e8,-120,32.1088449,34.8052632,0.0714020953,0.0
44:85:00:c5:6a:fc,-120,32.1088453,34.8052601,0.0728813186,0.0
44:85:00:c5:6a:de,-80.0,32.1088449,34.805263,0.0728813186,1355.0
44:85:00:c5:6b:74,-120,32.1088453,34.8052601,0.0728813186,0.0
e4:b3:18:9f:c0:d6,-120,32.1088447,34.8052696,0.0739634335,0.0
e4:b3:18:9f:bf:91,-70.0,32.1088447,34.8052696,0.0739634335,2030.0
e4:b3:18:9f:bf:f5,-83.0,32.1088447,34.8052696,0.0739634335,1458.0
44:85:00:c5:6b:10,-78.0,32.1088447,34.8052696,0.0739634335,1904.0
44:85:00:c5:6b:6f,-79.0,32.1088447,34.8052696,0.0739634335,2916.0
e4:b3:18:9f:bf:a5,-78.0,32.1088447,34.8052696,0.0739634335,1310.0
e4:b3:18:9f:c1:8a,-59.0,32.1088447,34.8052696,0.0739634335,471.0
44:85:00:c5:6b:83,-120,32.1088447,34.8052696,0.0739634335,0.0
44:85:00:c5:6b:7e,-120,32.1088447,34.8052696,0.0739634335,0.0
44:85:00:c5:69:da,-120,32.1088447,34.8052696,0.0739634335,0.0
e4:b3:18:9f:c1:53,-120,32.1088447,34.8052696,0.0739634335,0.0
44:85:00:c5:6a:e8,-70.0,32.1088447,34.8052696,0.0739634335,1077.0
44:85:00:c5:6a:fc,-120,32.1088447,34.8052696,0.0739634335,0.0
44:85:00:c5:6a:de,-80.0,32.1088447,34.8052696,0.0739634335,1271.0
44:85:00:c5:6b:74,-120,32.1088447,34.8052696,0.0739634335,0.0
e4:b3:18:9f:c0:d6,-120,32.1088394,34.8052783,0.0788450912,0.0
e4:b3:18:9f:bf:91,-69.0,32.1088394,34.8052783,0.0788450912,2148.0
